quarter,n,cos_1_ppm,sin_1_ppm,cos_2_ppm,sin_2_ppm,harmonic_2_semiamplitude_ppm,residual_rms_ppm
1,843,542.9020050584286,1937.378985968808,-132.9293198610099,-362.47539412081926,386.0810995396614,990.7691741349147
2,2221,630.983683728339,1250.9322461166187,-302.44163146382954,-393.14617738235603,496.01900894306647,703.9200218070549
3,2362,-6.878993565261515,-296.2268165495408,-570.5618652685729,-168.5517992872709,594.9374346447948,590.2185712385736
