kepid,method,epoch,mid_bkjd,oc_min,timing_error_min,duration_hours,tdv_min,tdv_error_min
9944201,pipeline,0,131.5841421,-123.96675862480151,60.0,2.7199999999999998,-8.704225352112651,12.0
9944201,pipeline,1,132.39858285239686,9.520970673584088,2.061102240557926,3.6799999999999997,48.89577464788735,12.0
9944201,pipeline,2,133.13010579262817,23.60705045364284,2.849950061791302,2.4,-27.90422535211264,12.0
9944201,pipeline,3,133.748710821,-124.90866284399544,60.0,2.6399999999999997,-13.504225352112655,12.0
9944201,pipeline,4,134.56196601688524,6.871865077664552,2.20577961167635,2.4,-27.90422535211264,12.0
9944201,pipeline,5,135.27973690623463,1.1549915877185413,2.0640275030407866,2.48,-23.104225352112636,12.0
9944201,pipeline,6,136.0005600460059,-0.16664129470882472,2.064276279157615,2.7199999999999998,-8.704225352112651,12.0
9944201,pipeline,7,136.73112723557256,12.543157528220945,2.064337812001573,3.5999999999999996,44.09577464788734,12.0
9944201,pipeline,8,137.43223030653047,-17.175374445459966,2.9175434564691636,3.9999999999999996,68.09577464788734,12.0
9944201,pipeline,9,138.16299457330368,-4.181784445117955,2.0648864518851777,2.4,-27.90422535211264,12.0
9944201,pipeline,10,138.88712206775963,-0.7451465815756819,1.6167826088711226,4.08,72.89577464788736,12.0
9944201,pipeline,11,139.60950619215862,0.18103839988725667,1.007738633663775,3.84,58.49577464788736,12.0
9944201,pipeline,12,140.3163616883518,-21.25400123500185,2.1935003699847417,2.4,-27.90422535211264,12.0
9944201,pipeline,13,141.05577571699075,4.195245852047265,1.4892052440552705,2.4,-27.90422535211264,12.0
9944201,pipeline,14,141.77757790601976,4.283443900740167,1.6509092418124833,3.6799999999999997,48.89577464788735,12.0
9944201,pipeline,15,142.49581900208472,-0.7563319187966044,2.0662736635590395,2.48,-23.104225352112636,12.0
9944201,pipeline,16,143.210826613941,-10.452324998809672,2.0679775293466394,2.4,-27.90422535211264,12.0
9944201,pipeline,17,143.9445385214812,6.785867706039426,2.068515269667704,3.5999999999999996,44.09577464788734,12.0
9944201,pipeline,18,144.66030231415445,-1.8212249975658779,2.0684385214106467,2.48,-23.104225352112636,12.0
9944201,pipeline,19,145.37533259399626,-11.48457617843178,2.0680408168225086,2.4,-27.90422535211264,12.0
9944201,pipeline,20,146.10933694812405,6.174739612552003,1.9860209339301735,3.5999999999999996,44.09577464788734,12.0
9944201,pipeline,21,146.8221838047249,-6.632741035323306,2.0684583164839996,2.4,-27.90422535211264,12.0
9944201,pipeline,22,147.54393585985267,-6.61673580439583,2.068644841963048,2.56,-18.30422535211263,12.0
9944201,pipeline,23,148.27403548455084,5.419769607892704,2.3292068910029764,3.5199999999999996,39.29577464788734,12.0
9944201,pipeline,24,148.99336657073388,1.9495795584043663,2.0699230425614163,2.6399999999999997,-13.504225352112655,12.0
9944201,pipeline,25,149.70748765247052,-9.023016893875138,2.0707693490292822,2.6399999999999997,-13.504225352112655,12.0
9944201,pipeline,26,150.44040065499988,7.064752595324535,2.0701402559809408,2.4,-27.90422535211264,12.0
9944201,pipeline,27,151.15655317253962,-0.9825763005255794,2.070466734477072,3.76,53.69577464788735,12.0
9944201,pipeline,28,151.87195063239713,-10.117188258741407,2.069721570274684,2.48,-23.104225352112636,12.0
9944201,pipeline,29,152.758306403,226.92816725632383,60.0,2.4,-27.90422535211264,12.0
9944201,pipeline,30,153.3224386851268,-0.02830063417150086,2.068825002373876,3.76,53.69577464788735,12.0
9944201,pipeline,31,154.03814133045307,-8.723445517371147,2.0724469898538813,2.4,-27.90422535211264,12.0
9944201,pipeline,32,154.75671878640034,-13.278863106379504,2.0718030136629144,3.6799999999999997,48.89577464788735,12.0
9944201,pipeline,33,155.50566066078997,25.89048186161108,2.073095111358518,2.56,-18.30422535211263,12.0
9944201,pipeline,34,156.20301515000708,-9.22600781883375,2.0731175568781097,2.4,-27.90422535211264,12.0
9944201,pipeline,35,156.92226423032236,-12.81428631786639,2.0722575578276743,2.48,-23.104225352112636,12.0
9944201,pipeline,36,157.6528505724819,-0.07690776120398368,1.8922580732431797,3.6799999999999997,48.89577464788735,12.0
9944201,pipeline,37,158.3888076390917,20.394314003851832,2.071873608995381,2.4,-27.90422535211264,12.0
9944201,pipeline,38,159.0892418616767,-10.287359626840953,2.0728352470242233,2.6399999999999997,-13.504225352112655,12.0
9944201,pipeline,39,159.81939669590778,1.8286475128888924,2.072846198451898,2.4,-27.90422535211264,12.0
9944201,pipeline,40,160.54007264883072,0.295065568834616,2.0730800153015814,3.4399999999999995,34.49577464788733,12.0
9944201,pipeline,41,161.25477917973262,-9.834484085495205,2.075473257296364,2.4,-27.90422535211264,12.0
9944201,pipeline,42,161.9825345448204,-1.1737125121362624,2.097576399706078,3.9999999999999996,68.09577464788734,12.0
9944201,pipeline,43,162.68870416556808,-23.596412788542693,2.929693411975718,3.9999999999999996,68.09577464788734,12.0
9944201,pipeline,45,164.05267291500002,-138.09532191271046,60.0,2.4,-27.90422535211264,12.0
9944201,pipeline,46,164.94097968765467,101.75947655692198,0.9483350191825537,3.92,63.295774647887356,12.0
9944201,pipeline,53,169.91605607419683,-9.279205893781182,2.0836454247203715,3.6799999999999997,48.89577464788735,12.0
9944201,pipeline,54,170.5981284110315,-66.40199500493964,2.9558668567343824,3.9999999999999996,68.09577464788734,12.0
9944201,pipeline,55,171.38528873620623,27.801919093608376,2.091005438592011,2.4,-27.90422535211264,12.0
9944201,pipeline,56,172.1221479763478,49.57227074439288,2.0944374281413736,2.4,-27.90422535211264,12.0
9944201,pipeline,57,172.7901279032307,-27.843588697296582,1.6640681095329957,2.4,-27.90422535211264,12.0
9944201,pipeline,58,173.53123966605656,0.05039561889589095,2.0964799307856827,2.4,-27.90422535211264,12.0
9944201,pipeline,59,174.24170965425338,-16.17977553075889,1.7109416849612555,4.08,72.89577464788736,12.0
9944201,pipeline,60,174.95098092102688,-34.13610552999671,2.966676622131189,2.4,-27.90422535211264,12.0
9944201,pipeline,61,175.6989643186163,3.6530328457365613,2.096773941344333,2.4,-27.90422535211264,12.0
9944201,pipeline,62,176.41223585168532,-8.542913687952023,2.097686861522012,2.4,-27.90422535211264,12.0
9944201,pipeline,63,177.127151188072,-18.37178344422682,2.095407342551,2.4,-27.90422535211264,12.0
9944201,pipeline,64,177.86727442087303,8.098717636235051,2.0965362475481406,2.4,-27.90422535211264,12.0
9944201,pipeline,65,178.57819936272392,-7.476320251557809,2.099593953837995,2.4,-27.90422535211264,12.0
9944201,pipeline,66,179.2947935663731,-14.88762114981455,2.0946304650638954,3.36,29.695774647887355,12.0
9944201,pipeline,67,180.01180962116163,-21.691456407406804,2.0944404927740563,2.4,-27.90422535211264,12.0
9944201,pipeline,68,180.7444300415348,-6.025005223123117,2.0919173323619202,3.76,53.69577464788735,12.0
9944201,pipeline,69,181.4913822558504,30.279229238303742,2.961593245469075,3.9999999999999996,68.09577464788734,12.0
9944201,pipeline,72,183.533791404,-146.57245988545583,60.0,2.4,-27.90422535211264,12.0
9944201,pipeline,73,184.34500523791579,-17.731493199798933,2.0837940412726548,2.6399999999999997,-13.504225352112655,12.0
9944201,pipeline,74,185.0726448379104,-9.237423360646062,2.500033409090825,3.1999999999999997,20.095774647887346,12.0
9944201,pipeline,75,185.70709818876773,-134.93155227910847,2.959718916424982,3.9999999999999996,68.09577464788734,12.0
9944201,pipeline,76,186.51122150450036,-16.300931777204823,2.095347163189337,2.7199999999999998,-8.704225352112651,12.0
9944201,pipeline,77,187.22716706244339,-24.64628249231737,2.095694333657609,2.4,-27.90422535211264,12.0
9944201,pipeline,78,187.99666382853582,44.12210652770682,2.0970214055382113,2.4,-27.90422535211264,12.0
9944201,pipeline,79,188.71298404333243,36.31626168174989,2.0963222127711156,2.4,-27.90422535211264,12.0
9944201,pipeline,80,189.38687621148017,-32.585970338532206,2.9637232930183273,3.9999999999999996,68.09577464788734,12.0
9944201,pipeline,81,190.11947388264093,-16.952278020112317,1.8794078124030291,2.4,-27.90422535211264,12.0
9944201,pipeline,82,190.83965343632553,-19.20067486736116,2.0973262552959024,3.6799999999999997,48.89577464788735,12.0
9944201,pipeline,83,191.55648603898683,-26.26868118812581,2.0969059118954343,3.4399999999999995,34.49577464788733,12.0
9944201,pipeline,84,192.2886186688243,-11.3046483752305,2.391594890730886,2.4,-27.90422535211264,12.0
9944201,pipeline,85,193.00530769955216,-18.57939828020335,1.616319128864806,3.76,53.69577464788735,12.0
9944201,pipeline,86,193.72278963545077,-24.712364739248187,2.09710954901489,2.4,-27.90422535211264,12.0
