phase,flux,flux_err,symmetric,tail,multistart_symmetric
-0.4999648266757628,0.9951817345349168,0.00031298597463211335,1.0,1.0,1.0
-0.4998512227998759,0.9935165625270265,0.00031857830960811803,1.0,1.0,1.0
-0.4997828905116535,0.994701124591821,0.0003178754409463356,1.0,1.0,1.0
-0.49924374073953004,0.995747067593037,0.0003034984780404018,1.0,1.0,1.0
-0.4992041220894521,0.9936845948169468,0.0003200800967926599,1.0,1.0,1.0
-0.4990670781669735,0.9944611711373663,0.0003187707151386792,1.0,1.0,1.0
-0.4987993575404488,0.9943969064180282,0.0003189195831834988,1.0,1.0,1.0
-0.49860339559020517,0.9942008828842891,0.0003137350566048779,1.0,1.0,1.0
-0.4983931021831154,0.9939665729744211,0.00031950757575210866,1.0,1.0,1.0
-0.4980583119321409,0.9948645237231049,0.00031770801300625004,1.0,1.0,1.0
-0.4979354621653691,0.9945975108675951,0.00031335000750321094,1.0,1.0,1.0
-0.497925639536291,0.9940148531670675,0.00031875763146678443,1.0,1.0,1.0
-0.49782441555342416,0.9935994998154019,0.0003203263554310441,1.0,1.0,1.0
-0.49782026689193515,0.9945508351762972,0.00031797007250561305,1.0,1.0,1.0
-0.4972996184966414,0.9942663414641458,0.0003121725387338295,1.0,1.0,1.0
-0.49716246142980935,0.9934202646834769,0.00031870235551429956,1.0,1.0,1.0
-0.4971149755292572,0.995362018630184,0.00030465796235422664,1.0,1.0,1.0
-0.49691039090131994,0.995550650814154,0.00031665574398031355,1.0,1.0,1.0
-0.4968568954785155,0.9943544764557415,0.00031892448133171016,1.0,1.0,1.0
-0.4967412732904677,0.995872546629143,0.0003047267080061666,1.0,1.0,1.0
-0.49658453555507265,0.9940722990787273,0.00031421580848700284,1.0,1.0,1.0
-0.49650871637274463,0.9941292216435338,0.0003193207081898461,1.0,1.0,1.0
-0.4960041152710062,0.9949402484695661,0.0003189062398492033,1.0,1.0,1.0
-0.49595907881553103,0.9945161250434204,0.00032019053509056044,1.0,1.0,1.0
-0.49590781986938026,0.9943057004621438,0.00031349421025045695,1.0,1.0,1.0
-0.49586148671136243,0.9949088412354357,0.0003180365975411994,1.0,1.0,1.0
-0.49526539519248214,0.9939304889422862,0.00031286225903954927,1.0,1.0,1.0
-0.49526170732198693,0.9941524888063118,0.00031863164478173115,1.0,1.0,1.0
-0.49493605028608556,0.9940614559920133,0.0003175468285749182,1.0,1.0,1.0
-0.49491858389845333,0.9939438062330586,0.00031874568928569016,1.0,1.0,1.0
-0.4946278626125036,0.994076444605763,0.0003193607431901451,1.0,1.0,1.0
-0.49456813363652685,0.9938146432086321,0.0003138673944955997,1.0,1.0,1.0
-0.49409680605097606,0.9936893384082632,0.000320111218978508,1.0,1.0,1.0
-0.4940865104391463,0.9947138669950863,0.0003189464404566768,1.0,1.0,1.0
-0.494076632412515,0.9948459640926548,0.0003176188751326854,1.0,1.0,1.0
-0.4939063127903154,0.9947754006951406,0.00031801316716049207,1.0,1.0,1.0
-0.49388201724817904,0.9943072355487266,0.0003135088841966982,1.0,1.0,1.0
-0.49344449831960446,0.9958775031302707,0.00030491299457169807,1.0,1.0,1.0
-0.4932326249764749,0.9948707351016464,0.0003127688006837964,1.0,1.0,1.0
-0.4929837475644092,0.9946399360554801,0.0003187519837105276,1.0,1.0,1.0
-0.49275076676758545,0.9947487119071401,0.00031932267576346464,1.0,1.0,1.0
-0.4925540162255544,0.9946124334411219,0.00031421811489271406,1.0,1.0,1.0
-0.492238074200543,0.9931135150445448,0.0003199592345974906,1.0,1.0,1.0
-0.4920907943945707,0.9940307273891644,0.00031737450801676325,1.0,1.0,1.0
-0.4918583082614276,0.9944108868076226,0.0003138308050798716,1.0,1.0,1.0
-0.49160503690927726,0.9956708455693148,0.00030470291068877316,1.0,1.0,1.0
-0.4914715409707924,0.993394066534901,0.0003188017732062136,1.0,1.0,1.0
-0.4912794813766155,0.9947774342242249,0.0003164169124978197,1.0,1.0,1.0
-0.4910539255623263,0.9935710704347198,0.00031866140575906006,1.0,1.0,1.0
-0.4909976305528545,0.9945907680800065,0.0003178024555554242,1.0,1.0,1.0
-0.49091313417088145,0.9957737862972941,0.0003049956707489757,1.0,1.0,1.0
-0.4908772337799405,0.9932069269763746,0.0003191434163628289,1.0,1.0,1.0
-0.49054242260935155,0.9942180008476145,0.0003142841146292542,1.0,1.0,1.0
-0.49011750868305626,0.9956575092898332,0.00030465989969351103,1.0,1.0,1.0
-0.4900074810772139,0.993208459463522,0.00031890065941316714,1.0,1.0,1.0
-0.4899654599489054,0.9946736835526556,0.00030521176602676204,1.0,1.0,1.0
-0.4898365280229129,0.9946079747457119,0.0003134361364306342,1.0,1.0,1.0
-0.48976262043458973,0.9957377308440016,0.00030482011714505,1.0,1.0,1.0
-0.4896301290149552,0.9941745577571764,0.00030513446928715637,1.0,1.0,1.0
-0.4895820628980232,0.9944514646920644,0.00031940123424882875,1.0,1.0,1.0
-0.4891713871863246,0.9941091769181387,0.0003129705387653104,1.0,1.0,1.0
-0.489127048298414,0.994005748273706,0.00031873919453612084,1.0,1.0,1.0
-0.4890337932834541,0.994309015358917,0.000317749744203397,1.0,1.0,1.0
-0.48900720298320266,0.9952895369611927,0.0003205572116506474,1.0,1.0,1.0
-0.48853773814498336,0.994543212936984,0.00031217203800051375,1.0,1.0,1.0
-0.4885296544749167,0.9944798612541051,0.0003204783358530427,1.0,1.0,1.0
-0.4883569981143694,0.9949971041720259,0.0003188692659022024,1.0,1.0,1.0
-0.4882862666756864,0.995726903759998,0.00030477233028685356,1.0,1.0,1.0
-0.48812946907057153,0.9943979113371036,0.0003144657925184552,1.0,1.0,1.0
-0.48812757182997757,0.9942180055703682,0.0003049232775567055,1.0,1.0,1.0
-0.4879172534234044,0.9958776112255783,0.00030463817218324025,1.0,1.0,1.0
-0.48781692547038347,0.9939957679199759,0.00031397006892988557,1.0,1.0,1.0
-0.4878038055803131,0.9947911658572959,0.00030524365477080286,1.0,1.0,1.0
-0.48769659332202764,0.994544827443764,0.00031939306333321547,1.0,1.0,1.0
-0.48752949224780195,0.9951449768221756,0.00030511100662227776,1.0,1.0,1.0
-0.48728944247568506,0.9934430163420082,0.0003177868621790347,1.0,1.0,1.0
-0.48728222361299345,0.9947475236967946,0.0003048452574339762,1.0,1.0,1.0
-0.4872042293874159,0.9942335603500161,0.0003186786252233425,1.0,1.0,1.0
-0.4871431630742258,0.9941232135740354,0.00031347915270496117,1.0,1.0,1.0
-0.4871406082252747,0.9939833022937878,0.0003202216061413567,1.0,1.0,1.0
-0.4870737849319937,0.9954003023946616,0.00031799308646105015,1.0,1.0,1.0
-0.48676683207389715,0.9957009112378996,0.00030418115513308866,1.0,1.0,1.0
-0.4866699374416896,0.9938158487996486,0.0003049352617846464,1.0,1.0,1.0
-0.48650296998318776,0.9945325161715999,0.00031272773680395796,1.0,1.0,1.0
-0.4864548327071532,0.9945745862234264,0.0003187738674728713,1.0,1.0,1.0
