method,quarter,n,delta_bic,skew,skew_formal_scaled_error,symmetric_reduced_chi2,asymmetric_reduced_chi2
pdc,0,2181,2.163324987912347,-0.01638569386830954,0.015240791122313893,9.28037144497534,9.280109029009774
pdc,1,345,2.961017529540186,-0.04830867097609307,0.05180672502392779,13.727477233884427,13.74204207201257
pdc,2,892,7.290316338725461,-0.03250600980110678,0.017667745194304866,4.59196205793399,4.58123683712792
pdc,3,944,-3.4350034344461164,-0.013767440153519422,0.013582964163073552,3.527223747228808,3.5273433854524248
sap,0,2181,131.74641616409644,-0.07409320990554162,0.19332073464262656,989.9550246773334,990.3462487204556
sap,1,345,176.64324363821652,-0.1909642734409524,0.5214330941474035,1014.6904410514351,1017.152582036631
sap,2,892,34.93970265891403,-0.10814308627003016,0.4233848516398381,1004.0382000426401,1005.1255503604381
sap,3,944,0.43315674480982125,-0.011296892707633403,0.2321464815491649,961.3531088293425,962.3713263596717
