epoch,mid_bkjd,mid_err_min,duration_hours,duration_err_min,depth,chi2,dof,n,jac_rank,at_bound,oc_min
1,246.03384538213416,2.3584593334738235,8.752384399617497,11.185100294477385,0.01669016337673412,92.48376880327424,64,70,6,False,2.5580509969995546
2,329.12711363219944,2.0692448833886194,8.978992567672545,8.980296736095923,0.015549860034850484,81.95607126282921,69,75,6,False,-3.938276368935476
3,412.22942515938104,2.37209479696265,8.611572604872542,9.769143504807827,0.014970542151229168,81.68392212141342,62,68,6,False,2.5877153126293706
