epoch,mid_bkjd,mid_err_min,duration_hours,duration_err_min,depth,chi2,dof,n,jac_rank,at_bound,oc_min
1,246.0336944378677,2.400320815762127,8.775058765462907,11.167604928095852,0.016765774378330905,98.48698949857365,64,70,6,False,2.2890887755193035
2,329.127652789249,2.051840525700708,8.978078781611543,8.802008729927561,0.015618845196626983,82.09068190865764,69,75,6,False,-3.3453476400336513
3,412.2293939802336,2.3678125311562237,8.599009208650294,9.789508855536058,0.014932037562730028,81.20553161631994,62,68,6,False,2.2275049731160834
