epoch,mid_bkjd,mid_err_min,duration_hours,duration_err_min,depth,chi2,dof,n,jac_rank,at_bound,oc_min
0,429.37568793753127,2.2540704891789063,7.55431198335711,8.586296992250016,0.015426219815907513,49.289123723719584,48,54,6,False,0.06758140687452396
1,508.3010519042987,3.2868062709919075,7.9634622976376015,13.06378332658032,0.019839744568870034,146.29120857157113,50,56,6,False,-0.2873892041770887
2,587.2271530715051,5.61395702776764,7.432881225518295,27.174969159607816,0.022394738729199854,274.0509101613742,53,59,6,False,0.41920881702026236
